"","name1","addr1","phone1"
"321","서서울 (본점)"," 서울특별시 서대문구 응암로 97 ","02-374-0120"
"322","서서울 (남가좌)"," 서울 서대문구 가재울미래로 2 ","02-374-8054"
"323","명지 (본점)"," 서울 서대문구 거북골로 34 ","02-376-8011"
"324","서울개인택시조합 (서대문)"," 서울 서대문구 응암로 84 ","02-376-8422"
"325","신도림 (본점)"," 서울특별시 구로구 신도림로13길 3 ","02-2677-1106"
"326","신도림 (성광)"," 서울 구로구 신도림로19길 7 ","02-2677-9480"
"327","구로2동 (본점)"," 서울특별시 구로구 구로동로28길 17 ","02-853-1660"
"328","구로3동 (본점)"," 서울특별시 구로구 도림로 36 ","02-854-3247"
"329","구로5동 (본점)"," 서울 구로구 구로중앙로32가길 22 ","02-863-7381"
"330","가리봉 (본점)"," 서울특별시 구로구 남부순환로105길 224 ","02-853-1970"
"331","가리봉 (제1)"," 서울 구로구 우마길 5 ","02-855-4676"
"332","고척1동 (본점)"," 서울 구로구 경인로47길 102 ","02-2617-1181"
"333","고척1동 (양지)"," 서울 구로구 경서로 47 ","02-2617-1184"
"334","고척2동 (본점)"," 서울 구로구 고척2동 ","02-2618-4787"
"335","고척2동 (남부)"," 서울 구로구 고척2동 ","02-2618-0693"
"336","개봉동 (본점)"," 서울 구로구 경인로33길 69 ","02-2681-8333"
"337","개봉동 (개봉1동)"," 서울 구로구 고척로19길 30 ","02-2616-6242"
"338","개봉동 (개봉2동)"," 서울 구로구 개봉로17길 13 ","02-2618-4214"
